Question,Answer,Options,Correct
"by selling an article at rs . 400 , a profit of 60 % is made . find its cost price ?",250,"a ) 228 , b ) 267 , c ) 287 , d ) 250 , e ) 811",d
"while working alone at their constant rates , computer x can process 240 files in 12 hours , and computer y can process 240 files in 3 hours . if all files processed by these computers are the same size , how many hours would it take the two computers , working at the same time at their respective constant rates , to process a total of 240 files ?",2.4,"a ) 1.6 , b ) 1.8 , c ) 2 , d ) 2.2 , e ) 2.4",e
"on dividing a number by 357 , we get 39 as remainder . on dividing the same number 17 , what will be the remainder ?",5,"a ) 10 , b ) 12 , c ) 5 , d ) 25 , e ) 85",c
"two dogsled teams raced across a 300 mile course in wyoming . team a finished the course in 3 fewer hours than team r . if team a ' s average speed was 5 mph greater than team r ' s , what was team r ' s average mph ?",20,"a ) 12 , b ) 15 , c ) 18 , d ) 20 , e ) 25",d
the average marks of a class of 24 students is 40 and that of another class of 50 students is 60 . find the average marks of all the students ?,53.5,"a ) 52.2 , b ) 59.5 , c ) 52.8 , d ) 53.5 , e ) 52.1",d
"each month a retailer sells 100 identical items . on each item he makes a profit of $ 30 that constitutes 10 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?",223,"a ) 191 , b ) 213 , c ) 221 , d ) 223 , e ) 226",d
"if x gets 25 % more than y and y gets 20 % more than z , the share of z out of rs . 555 will be :",150,"a ) rs . 300 , b ) rs . 200 , c ) rs . 240 , d ) rs . 150 , e ) none of these",d
"for integers x , y , and z , if ( 3 ^ x ) ( 4 ^ y ) ( 5 ^ z ) = 13107 , 200000 and x + y + z = 16 , what is the value of xy / z ?",0,"a ) undefined , b ) 0 , c ) 3 , d ) 5 , e ) 7",b
"the length of a rectangular plot is thrice its breadth . if the area of the rectangular plot is 972 sq m , then what is the breadth of the rectangular plot ?",18,"a ) 16 , b ) 17 , c ) 18 , d ) 19 , e ) 14",c
the mean of 15 observations was 25 . it was found later that an observation 40 was wrongly taken as 25 . the corrected new mean is,26,"a ) 20 , b ) 30 , c ) 15 , d ) 18 , e ) 26",e
what is the area of a square field whose diagonal of length 24 m ?,240,"a ) 240 sq m , b ) 250 sq m , c ) 200 sq m , d ) 400 sq m , e ) 800 sq m",a
( x ) + 3612 + 16125 - 6149 = 90189 . calculate the value of x,76601,"a ) 76601 , b ) 76600 , c ) 76655 , d ) 76313 , e ) 76723",a
"a grocer has a sale of rs . 2500 , rs . 6500 , rs . 9855 , rs . 7230 and rs . 7000 for 5 consecutive months . how much sale must he have in the sixth month so that he gets an average sale of rs . 7500 ?",11915,"a ) s . 49180 , b ) s . 49910 , c ) s . 11915 , d ) s 6997 , e ) s . 5000",c
a cyclist bikes x distance at 20 miles per hour and returns over the same path at 16 miles per hour . what is the cyclist ' s average rate for the round trip in miles per hour ?,17.6,"a ) 17.6 , b ) 17.3 , c ) 8.6 , d ) 17.2 , e ) 9.0",a
increasing the original price of a certain item by 25 percent and then increasing the new price by 25 percent is equivalent to increasing the original price by what percent ?,56.25,"a ) 31.25 , b ) 37.5 , c ) 50.0 , d ) 52.5 , e ) 56.25",e
ramu bought an old car for rs . 42000 . he spent rs . 13000 on repairs and sold it for rs . 61900 . what is his profit percent ?,12.5,"a ) 22 , b ) 77 , c ) 18 , d ) 99 , e ) 12.5",e
"there are 1200 jelly beans divided between two jars , jar x and jar y . if there are 400 fewer jelly beans in jar x than 3 times the number of beans in jar y , how many beans are in jar x ?",800,"a ) 650 , b ) 700 , c ) 750 , d ) 800 , e ) 850",d
how many alphabets need to be there in a language if one were to make 1 million distinct 3 digit initials using the alphabets of the language ?,100,"a ) 321 , b ) 65 , c ) 120 , d ) 100 , e ) 80",d
"a train covers a distance of 12 km in 10 min . if it takes 8 sec to pass a telegraph post , then the length of the train is ?",160,"a ) 100 , b ) 110 , c ) 160 , d ) 130 , e ) 140",c
"at a certain restaurant , the ratio of the number of cooks to the number of waiters is 3 to 11 . when 12 more waiters are hired , the ratio of the number of cooks to the number of waiters changes to 3 to 14 . how many cooks does the restaurant have ?",12,"a ) 4 , b ) 6 , c ) 9 , d ) 12 , e ) 15",d
bruce purchased 8 kg of grapes at the rate of 70 per kg and 11 kg of mangoes at the rate of 55 per kg . how much amount did he pay to the shopkeeper ?,1165,"a ) a ) 1040 , b ) b ) 1165 , c ) c ) 1055 , d ) d ) 1065 , e ) e ) 1075",b
a 56 gallon solution of salt and water is 10 % salt . how many gallons of water must be added to the solution in order to decrease the salt to 8 % of the volume ?,14,"a ) 8 , b ) 12 , c ) 13 , d ) 14 , e ) 16",d
"a , b and c invest in the ratio of 3 : 4 : 5 . the percentage of return on their investments are in the ratio of 6 : 5 : 4 . find the total earnings , if b earns rs . 120 more than a :",3480,"a ) 2348 , b ) 3480 , c ) 2767 , d ) 1998 , e ) 2771",b
"if log 2 = 0.3010 and log 3 = 0.4771 , the value of log 5 ( 512 )",3.876,"a ) 3.876 , b ) 2.967 , c ) 2.87 , d ) 3.912 , e ) 1.9",a
what is the smallest positive integer x such that 507 + x is the cube of a positive integer ?,5,"a ) 15 , b ) 5 , c ) 50 , d ) 2 , e ) 4",b
"a train which has 440 m long , is running 45 kmph . in what time will it cross a person moving at 9 kmph in same direction ?",44,"a ) 56 sec , b ) 44 sec , c ) 36 sec , d ) 29 sec . , e ) 19 sec .",b
two numbers have a h . c . f of 16 and a product of two numbers is 2560 . find the l . c . m of the two numbers ?,160,"a ) 140 , b ) 150 , c ) 160 , d ) 170 , e ) 180",c
what is the tens digit of 36 ^ 4 ?,5,"a ) 1 , b ) 3 , c ) 5 , d ) 7 , e ) 9",c
0.003 * 0.5 = ?,0.0015,"a ) 0.00015 , b ) 0.0015 , c ) 0.015 , d ) 0.15 , e ) none of these",b
a man rows his boat 60 km downstream and 30 km upstream taking 3 hrs each time . find the speed of the stream ?,5,"a ) 5 kmph , b ) 6 kmph , c ) 8 kmph , d ) 1 kmph , e ) 2 kmph",a
"the ratio of the amount of the oil bill for the month of february to the amount of the oil bill for the month of january was 3 : 2 . if the oil bill for february had been $ 10 more , the corresponding ratio would have been 5 : 3 . how much was the oil bill for january ?",60,"a ) $ 60 , b ) $ 80 , c ) $ 100 , d ) $ 120 , e ) $ 140",a
what is the average ( arithmetic mean ) of all multiples of 10 from 10 to 600 inclusive ?,305,"a ) 190 , b ) 195 , c ) 305 , d ) 205 , e ) 210",c
"if rs . 595 be divided among a , b , c in such a way that a gets 2 / 3 of what b gets and b gets 1 / 4 of what c gets , then their shares are respectively ?",420,"a ) s . 420 , b ) s . 360 , c ) s . 389 , d ) s . 368 , e ) s . 323",a
