question,answer,qA
"#Q In which US state is the active Mount Rainier volcano located?
",Washington,"['#Q In which US state is the active Mount Rainier volcano located?\n'
 '^ Washington\n' 'A Michigan\n' 'B Ohio\n' 'C Washington\n'
 'D New York\n']"
"#Q In 1990, this 5000 year old body was found in the Alps. Scientists discovered some tattoos on his leg which indicated that acupuncture was used as far back as the Copper-stone Age.
",Oetzi,"['#Q In 1990, this 5000 year old body was found in the Alps. Scientists discovered some tattoos on his leg which indicated that acupuncture was used as far back as the Copper-stone Age.\n'
 '^ Oetzi\n' 'A Big Foot\n' 'B Sasquatch\n' 'C Nessie\n' 'D Oetzi\n']"
"#Q After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.
",Desert Storm,"['#Q After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.\n'
 '^ Desert Storm\n' 'A Matador\n' 'B BOLERO\n' 'C Determined Force\n'
 'D Desert Storm\n']"
"#Q It is the process of producing identical copies of a DNA segment asexually.  In 1996 the first successful one of an animal was made. The animals name was Dolly.  Dolly later died, but Richard Seed announced that he intended try it on humans.
",Cloning,"['#Q It is the process of producing identical copies of a DNA segment asexually.  In 1996 the first successful one of an animal was made. The animals name was Dolly.  Dolly later died, but Richard Seed announced that he intended try it on humans.\n'
 '^ Cloning\n' 'A Organ Transplant\n' 'B Cloning\n'
 'C Bloodless Surgery\n' 'D Laser Surgery\n']"
"#Q This kind of music became largely popular in Europe and America in the 1990s. It is a melodic, free form combination between techno and house, having hypnotic qualities. The first distinctive track of this kind was Age Of Love, released in 1990.
",Trance,"['#Q This kind of music became largely popular in Europe and America in the 1990s. It is a melodic, free form combination between techno and house, having hypnotic qualities. The first distinctive track of this kind was Age Of Love, released in 1990.\n'
 '^ Trance\n' 'A Electro\n' 'B Trance\n' 'C Techno\n' 'D Dance\n']"
"#Q This womans death was arguably the most shocking one of the decade. She died in 1997 in a car crash while evading paparazzi. The woman was taken to a hospital, but the two-hour efforts of surgeons to save her life were unsuccessful.
",Princess Diana,"['#Q This womans death was arguably the most shocking one of the decade. She died in 1997 in a car crash while evading paparazzi. The woman was taken to a hospital, but the two-hour efforts of surgeons to save her life were unsuccessful.\n'
 '^ Princess Diana\n' 'A Greta Garbo\n' 'B Nancy Marchand\n'
 'C Madam C. J. Walker\n' 'D Princess Diana\n']"
"#Q This union, made up of European countries, was established by the Maastricht Treaty in 1992. Starting as a trade body it is now an economic and political partnership between its members.
",The European Union,"['#Q This union, made up of European countries, was established by the Maastricht Treaty in 1992. Starting as a trade body it is now an economic and political partnership between its members.\n'
 '^ The European Union\n' 'A American Labor Union\n' 'B Oxford Union\n'
 'C The European Union\n' 'D European Trade Union\n']"
"#Q Although the first one was sent in 1971, it became widely popular in 1998. Its popularity caused explosive growth of the internet.
",The E-mail,"['#Q Although the first one was sent in 1971, it became widely popular in 1998. Its popularity caused explosive growth of the internet.\n'
 '^ The E-mail\n' 'A The Chat programs\n' 'B The URL\n' 'C The E-mail\n'
 'D The Website\n']"
"#Q Impeachment stands for quickly removing dangerously criminal officials from high office. The Impeachment Trial in the Senate for this US President commenced on January 7, 1999.
",Bill Clinton,"['#Q Impeachment stands for quickly removing dangerously criminal officials from high office. The Impeachment Trial in the Senate for this US President commenced on January 7, 1999.\n'
 '^ Bill Clinton\n' 'A George Bush\n' 'B Ronald Reagan\n'
 'C Bill Clinton\n' 'D Richard Nixon\n']"
"#Q On August 17, 1999 this disaster took the lives of 15 000 and injured 23 000 people in western Turkey.
",Earthquake,"['#Q On August 17, 1999 this disaster took the lives of 15 000 and injured 23 000 people in western Turkey.\n'
 '^ Earthquake\n' 'A Earthquake\n' 'B Tsunami\n' 'C Avalanche\n'
 'D Volcano eruption\n']"
