question,answer,qA
"#Q One of these events did not take place on March 19.
",Indira Gandhi led India,"['#Q One of these events did not take place on March 19.\n'
 '^ Indira Gandhi led India\n' 'A Nevada legalized gambling\n'
 'B Americas first recorded bank robbery took place\n'
 'C General Fromm was executed for plot against Hitler\n'
 'D Indira Gandhi led India\n']"
"#Q The mass suicide in Jonestown took place on this day in 1978.
",November 18,"['#Q The mass suicide in Jonestown took place on this day in 1978.\n'
 '^ November 18\n' 'A November 18\n' 'B October 13\n' 'C November 13\n'
 'D October 18\n']"
"#Q One of these events did not take place during December.
",Napoleon died in exile,"['#Q One of these events did not take place during December.\n'
 '^ Napoleon died in exile\n' 'A Napoleon died in exile\n'
 'B Bush ordered US troops to Somalia\n'
 'C Irish free state was declared\n' 'D The Prohibition in the US ended\n']"
"#Q One of these events did not take place on a summer day.
",Admiral Nelson was buried at St. Pauls Cathedral,"['#Q One of these events did not take place on a summer day.\n'
 '^ Admiral Nelson was buried at St. Pauls Cathedral\n'
 'A Admiral Nelson was buried at St. Pauls Cathedral\n'
 'B President Adams settled in a new capital\n' 'C Donald Duck debuted\n'
 'D The 1936 Summer Olympics\n']"
"#Q 1783 Treaty of Paris was signed on this day.
",September 3,"['#Q 1783 Treaty of Paris was signed on this day.\n' '^ September 3\n'
 'A November 5\n' 'B December 6\n' 'C October 4\n' 'D September 3\n']"
"#Q The Treaty of Brest-Litovsk was signed on March 3, 1918.
",True,"['#Q The Treaty of Brest-Litovsk was signed on March 3, 1918.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Magellan set out on his voyage around the world on this day.\n']"
"#Q Magellan set out on his voyage around the world on this day.
","September 20, 1519","['#Q Magellan set out on his voyage around the world on this day.\n'
 '^ September 20, 1519\n' 'A March 3, 1522\n' 'B October 12, 1512\n'
 'C January 21, 1532\n' 'D September 20, 1519\n']"
"#Q In 1799, Napoleon began his campaign to conquer the Ottoman Empire, but was eventually defeated at this city.
",Acco,"['#Q In 1799, Napoleon began his campaign to conquer the Ottoman Empire, but was eventually defeated at this city.\n'
 '^ Acco\n' 'A Alexandria\n' 'B Acco\n' 'C Bagdhad\n' 'D Istanbul\n']"
"#Q The English Navigation Acts were a series of laws which restricted foreign shipping. Resentment against the Navigation Acts was a cause for which war?
",The Anglo-Dutch Wars,"['#Q The English Navigation Acts were a series of laws which restricted foreign shipping. Resentment against the Navigation Acts was a cause for which war?\n'
 '^ The Anglo-Dutch Wars\n' 'A The English Civil War\n'
 'B The Anglo-Dutch Wars\n' 'C The Boer War\n' 'D The Anglo-Berber War\n']"
"#Q What precipitated the 1969 six-day war between El Salvador and Honduras?
",A soccer game,"['#Q What precipitated the 1969 six-day war between El Salvador and Honduras?\n'
 '^ A soccer game\n'
 'A Import tariffs on Honduran goods exported into El Salvador\n'
 'B Import tariffs on Salvadoran goods exported into Honduras\n'
 'C A soccer game\n'
 'D Control over the oil reserves in the Gulf of Fonseca\n']"
