Question,Answer,Options,Correct
the banker ' s gain of a certain sum due 3 years hence at 10 % per annum is rs . 36 . what is the present worth ?,400,"a ) rs . 400 , b ) rs . 300 , c ) rs . 500 , d ) rs . 350 , e ) none of these",a
average age of students of an adult school is 40 years . 120 new students whose average age is 32 years joined the school . as a result the average age is decreased by 4 years . find the number of students of the school after joining of the new students .,240,"a ) 1200 , b ) 120 , c ) 360 , d ) 240 , e ) none of these",d
sophia finished 2 / 3 of a book . she calculated that she finished 90 more pages than she has yet to read . how long is her book ?,270,"a ) 229 , b ) 270 , c ) 877 , d ) 266 , e ) 281",b
"an empty fuel tank with a capacity of 218 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 30 gallons of ethanol , how many gallons of fuel a were added ?",122,"a ) 122 , b ) 150 , c ) 100 , d ) 80 , e ) 50",a
6 workers should finish a job in 8 days . after 3 days came 4 workers join them . how many days m do they need to finish the same job ?,3,"a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",a
j is 25 % less than p and 20 % less than t . t is q % less than p . what is the value of q ?,6.25,"a ) 93.5 , b ) 90 , c ) 6.75 , d ) 6.25 , e ) 2",d
"a student was asked to find 4 / 5 of a number . but the student divided the number by 4 / 5 , thus the student got 36 more than the correct answer . find the number .",80,"a ) 60 , b ) 70 , c ) 80 , d ) 90 , e ) 100",c
the average weight of 8 person ' s increases by 1.5 kg when a new person comes in place of one of them weighing 75 kg . what might be the weight of the new person ?,81,"a ) 81 kg , b ) 85 kg , c ) 90 kg , d ) 100 kg , e ) 110 kg",a
"a train 125 m long passes a man , running at 15 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is ?",60,"a ) 60 , b ) 50 , c ) 28 , d ) 26 , e ) 29",a
the average of 15 result is 60 . average of the first 10 of them is 10 and that of the last 10 is 80 . find the 8 th result ?,200,"a ) 35 , b ) 200 , c ) 150 , d ) 250 , e ) 300",b
"a salesman â € ™ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1000 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 500 more than that by the previous schema , his sales were worth ?",12,"a ) s . 14,000 , b ) s . 12,000 , c ) s . 16,000 , d ) s . 40,000 , e ) s . 50,000",c
"a rectangular floor that measures 15 meters by 18 meters is to be covered with carpet squares that each measure 3 meters by 3 meters . if the carpet squares cost $ 12 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?",360,"a ) $ 200 , b ) $ 240 , c ) $ 360 , d ) $ 960 , e ) $ 1,920",c
the total of 324 of 20 paise and 25 paise make a sum of rs . 70 . the no of 20 paise coins is,220,"a ) 238 , b ) 277 , c ) 220 , d ) 200 , e ) 288",c
what is the number of integers from 1 to 1100 ( inclusive ) that are divisible by neither 11 nor by 35 ?,945,"a ) 884 , b ) 890 , c ) 892 , d ) 910 , e ) 945",e
"arun makes a popular brand of ice cream in a rectangular shaped bar 6 cm long , 5 cm wide and 2 cm thick . to cut costs , the company had decided to reduce the volume of the bar by 19 % . the thickness will remain same , but the length and width will be decreased by some percentage . the new width will be ,",33,"a ) 33 , b ) 87 , c ) 99 , d ) 367 , e ) 72",a
"mark bought a set of 6 flower pots of different sizes at a total cost of $ 8.25 . each pot cost 0.1 more than the next one below it in size . what was the cost , in dollars , of the largest pot ?",1.62,"a ) $ 1.62 , b ) $ 1.85 , c ) $ 2.00 , d ) $ 2.15 , e ) $ 2.30",a
"in the above number , a and b represent the tens and units digits , respectively . if the above number is divisible by 45 , what is the greatest possible value of b x a ?",20,"a ) 0 , b ) 5 , c ) 10 , d ) 15 , e ) 20",e
the profit obtained by selling an article for rs . 57 is the same as the loss obtained by selling it for rs . 43 . what is the cost price of the article ?,50,"a ) rs . 40 , b ) rs . 50 , c ) rs . 49 , d ) rs . 59 , e ) none of these",b
"a garrison of 2000 men has provisions for 54 days . at the end of 15 days , a reinforcement arrives , and it is now found that the provisions will last only for 20 days more . what is the reinforcement ?",1900,"a ) 1778 , b ) 1682 , c ) 9178 , d ) 1900 , e ) 1782",d
"what is the greatest number that divides 263 , 935 and 1383 leaving a remainder of 7 in each case ?",32,"a ) 30 , b ) 31 , c ) 32 , d ) 35 , e ) 37",c
how many seconds will a 900 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,54,"a ) 48 , b ) 36 , c ) 54 , d ) 11 , e ) 18",c
find the average of all the numbers between 6 and 38 which are divisible by 4 .,22,"a ) 18 , b ) 22 , c ) 20 , d ) 30 , e ) 28",b
